ds,yhat,yhat_lower,yhat_upper
2022-12-27,3903.1817271523432,3721.4212752838425,4084.079357803034
2022-12-28,3899.026013470144,3714.566970192321,4080.6316581276815
2022-12-29,3899.913396912243,3731.958668692371,4087.875849439072
2022-12-30,3902.4500346058003,3715.4670663402903,4085.43547970936
2023-01-03,3903.820945009836,3706.9995225384496,4076.18819366838
2023-01-04,3902.3084218295444,3709.8203802685625,4096.0419937932675
2023-01-05,3905.807637276335,3723.3981992145195,4095.146396765636
2023-01-06,3910.9027706511856,3726.0651114896386,4097.806864526819
2023-01-09,3919.4019799251255,3727.897777021323,4097.650601017579
2023-01-10,3921.6762748036404,3743.0117327771063,4097.203153640902
2023-01-11,3922.268529015563,3734.860312018312,4095.277970964892
2023-01-12,3927.772712670922,3736.249545923199,4098.301334811141
2023-01-13,3934.7781073929573,3749.1469028986157,4120.075641806794
2023-01-17,3952.416455963927,3777.54205689277,4125.5141405779
2023-01-18,3954.579647681219,3779.1944237131675,4150.0891756814
2023-01-19,3961.613807804212,3790.9817511598367,4159.905185126908
2023-01-20,3970.1132338883426,3791.463437439488,4154.327228648548
2023-01-23,3988.121573489457,3811.6095049164173,4168.181314231578
2023-01-24,3993.341415608076,3812.459061551997,4192.6275647271805
2023-01-25,3996.7600073819135,3809.5453231514125,4175.913674216672
2023-01-26,4004.957577096746,3817.1999734354717,4196.087402279179
2023-01-27,4014.502385322782,3832.185242097823,4199.09044047301
2023-01-30,4034.6169813309266,3851.7998259856736,4224.688516956585
2023-01-31,4040.072973143666,3841.613373366582,4219.528079988504
2023-02-01,4043.4290551340378,3863.994556816238,4239.1576369502045
2023-02-02,4051.2258146628196,3865.723851156935,4238.083230608938
2023-02-03,4059.993518084312,3884.3139064433904,4236.986090515022
2023-02-06,4075.192571497571,3887.910064515722,4269.444146168856
2023-02-07,4078.0671495907973,3902.3830464615803,4268.5491766406085
2023-02-08,4078.347745720465,3887.0022991685983,4263.639015071202
2023-02-09,4082.5745980358483,3912.050502249383,4269.575441189019
2023-02-10,4087.2876976463517,3896.752667560709,4268.861729497853
2023-02-13,4087.6743323615897,3901.093234097502,4291.176822351607
2023-02-14,4084.870513713414,3899.3045209538495,4267.530773579333
2023-02-15,4079.200276950843,3905.515854973357,4265.526373553963
2023-02-16,4077.2776967563045,3875.6512058914955,4256.075029835495
2023-02-17,4075.7252679461444,3890.5921161946612,4264.818985092189
2023-02-21,4048.9574792944695,3862.0859869269243,4223.939352703088
2023-02-22,4037.876379187067,3858.330912195441,4233.198937135566
2023-02-23,4031.0142395917637,3853.9280045444434,4205.954552946675
2023-02-24,4025.0883022577405,3851.9286571367675,4215.722329077425
2023-02-27,4002.1639090984618,3827.849129479278,4185.417913315391
2023-02-28,3993.6325066759996,3809.9308417255556,4179.950418851613
2023-03-01,3983.5058179482,3808.978559019947,4154.186040779216
2023-03-02,3978.523171180793,3794.59551686989,4169.923155314767
2023-03-03,3975.411281984073,3792.406555274394,4146.538324608444
2023-03-06,3962.225319400968,3777.1084355777552,4152.104680203141
2023-03-07,3958.612739491866,3763.6458961617723,4130.91674446928
2023-03-08,3954.128732123979,3764.747529152448,4130.913448790164
2023-03-09,3955.4221702756145,3781.769008451402,4130.1670696048905
2023-03-10,3959.1160367176167,3785.45582530699,4132.9413004993985
2023-03-13,3968.330261459065,3775.1601514290537,4146.967528787528
2023-03-14,3972.410517422847,3787.8446998011073,4152.405441348603
2023-03-15,3975.505605554825,3801.3598241357085,4163.151288738118
2023-03-16,3984.12833997429,3795.3606352579964,4173.847728939299
2023-03-17,3994.769466187024,3818.5191441209076,4173.771182654598
